idiom_example
membanting tulang
buah bibir
gulung tikar
banting tulang
jago merah
kabar burung
lapangan hijau
tinggi hati
panjang tangan
rendah hati
angkat kaki
adu mulut
cuci otak
darah daging
gigit jari
gelap mata
kepala dingin
panas hati
gaji buta
meja hijau
darah biru
bermuka dua
kaki lima
berbadan dua
kambing hitam
lintah darat
buah tangan
naik pitam
bunga desa
besar kepala
tangan kanan
buah hati
tulang punggung
keras kepala
ringan tangan
ringan kepala
kaki tangan
angkat tangan
cuci tangan
turun tangan
campur tangan
lepas tangan
buang angin
kepala batu
lupa daratan
memakan waktu
buka suara
tertangkap basah
makan angin
benang merah
buah mata
aral melintang
naik daun
mental baja
berjiwa besar
tutup usia
lupa diri
biang keladi
bermurah hati
berpangku tangan
berdarah biru
bermuka tebal
uang suap
anak emas
kutu buku
biunga desa
otak udang
tulang rusuk
kabar angin
bintang lapangan
omong kosong
sebatang kara
bunga tidur
buaya darat
hotel prodeo
kuda hitam
bermuka masam
duduk perut
tanggal tua
panjang akal
main mata
kecil hati
tebal muka
besar mulut
makan garam
empat mata
mata duitan
tikus kantor
kebakaran jenggot
sampah masyarakat
makan waktu
bertangan besi
tangan terbuka
naik darah
angkat bicara
berat hati
cuci mata
bersilat lidah
adu domba
harga mati
mata keranjang
setengah hati
perang dingin
masih hijau
menangkap angin
kelas kakap
akal kancil
lapang dada
murah hati
bermental baja
beradu mulut
makan hati
berat sebelah
unjuk gigi
besar hati
semata wayang
kelinci percobaan
berkepala batu
berputih tulang
buah baju
uang panas
lurus hati
makan tulang
berlapang dada
berkecil hati
bengkok hati
akal bulus
anak bawang
berdarah dingin
berbesar hati
bintang kelas
patah arang
ujung tanduk
anak buah
tutup mulut
membuang muka
mencari muka
cari muka
rendah diri
tikus berdasi
membabi buta
jendela dunia
mati kutu
hidung belang
daftar hitam
bermain mata
berakal bulus
tutup usia
jalan tengah
buah pikiran
gudang ilmu
berotak udang
bermulut haimau
batu loncatan
benang kusut
menjilat ludah
berkulit badak
langkah seribu
bermain api
bermulut manis
sapi perah
menahan hati
tangan hampa
menarik hati
tunas bangsa
menusuk hati
banting setir
bunga bangsa
