kalimat,kategori,frasa idiom,validasi,sumber
Orang tua itu rela membanting tulang demi menyekolahkan ketiga anaknya.,kalimat_idiom,membanting tulang,idiom,https://tirto.id/pengertian-idiom-dalam-bahasa-indonesia-contoh-dan-artinya-ghPD
Rusmi jadi buah bibir setelah menjuarai lomba lari 100 meter tingkat nasional.,kalimat_idiom,buah bibir,idiom,https://www.medcom.id/pendidikan/news-pendidikan/zNPO1rzK-mengenal-idiom-bahasa-indonesia-beserta-contohnya
Gara-gara pandemi covid-19 usaha Doyok harus gulung tikar.,kalimat_idiom,gulung tikar,idiom,https://www.medcom.id/pendidikan/news-pendidikan/zNPO1rzK-mengenal-idiom-bahasa-indonesia-beserta-contohnya
Saat pandemi ini Esti harus banting tulang untuk memenuhi kebutuhan hidupnya.,kalimat_idiom,banting tulang,idiom,https://www.medcom.id/pendidikan/news-pendidikan/zNPO1rzK-mengenal-idiom-bahasa-indonesia-beserta-contohnya
"Karena pandemi Covid-19, restoran Pak Hilman akhirnya gulung tikar.",kalimat_idiom,gulung tikar,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Kios di Pasar Senen rusak akibat dilahap si jago merah.,kalimat_idiom,jago merah,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
"Di zaman digitalisasi ini, banyak sekali kabar burung yang beredar di media sosial.",kalimat_idiom,kabar burung,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
"Saat ini, timnas U-19 sedang berlatih di lapangan hijau.",kalimat_idiom,lapangan hijau,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Orang yang tinggi hati biasanya akan susah mendapatkan teman.,kalimat_idiom,tinggi hati,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Budi memiliki sifat panjang tangan sehingga kerap keluar masuk penjara.,kalimat_idiom,panjang tangan,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Jadilah orang yang rendah hati meski memiliki banyak kelebihan.,kalimat_idiom,rendah hati,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
"Minggu depan, Mirna angkat kaki dari rumahnya untuk merantau.",kalimat_idiom,angkat kaki,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Rizki sedang adu mulut dengan temannya karena salah paham.,kalimat_idiom,adu mulut,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Para teroris biasanya melakukan cuci otak kepada para korbannya.,kalimat_idiom,cuci otak,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Seorang ibu akan selalu menyayangi darah dagingnya.,kalimat_idiom,darah daging,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Para petani terpaksa gigit jari karena gagal panen.,kalimat_idiom,gigit jari,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Jangan mudah gelap mata agar tidak menyesal di kemudian hari.,kalimat_idiom,gelap mata,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Setiap masalah sebaiknya diselesaikan dengan kepala dingin.,kalimat_idiom,kepala dingin,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Jangan mudah panas hati dengan kelebihan orang lain.,kalimat_idiom,panas hati,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Bekerjalah dengan sungguh-sungguh jangan makan gaji buta.,kalimat_idiom,gaji buta,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Kasus perseteruan itu akhirnya dibawa ke meja hijau.,kalimat_idiom,meja hijau,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Kios di Pasar Senen rusak parah akibat dilahap si jago merah.,kalimat_idiom,jago merah,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
Timnas U-19 sedang berlatih di lapangan hijau untuk mempersiapkan pertandingan bulan depan.,kalimat_idiom,lapangan hijau,idiom,https://xerpihan.id/blog/770/apa-itu-idiom-pengertian-dan-contoh-idiom-bahasa-inggris-dan-indonesia/
